name,age,gender,location,year,Were you able to vote in the recent Lok Sabha election?,When did you decide whom to vote for?,What mattered more to you in this election party or candidate?,Which party do you prefer overall?,Did you vote for this party because you really wanted to or due to lack of alternatives?,Whose opinion mattered the most while deciding whom to vote for?,Why were you not able to vote in the recent Lok Sabha election?,How interested were you in the election campaign this time?,Were you or a family member contacted by political parties through phone or social media?,"As compared to five years ago, how is the economic condition of your household today?",Rate the effectiveness of the recent government policies (1 to 5),What is your top issue for this election?,Do you think the government is handling inflation effectively?,Has your trust in the judiciary improved over the last five years?,Did a candidate or party member visit your house to ask for your vote?,How satisfied are you with the BJP-led NDA government's performance over the last five years? Rate (1 to 5),Which government work in the last five years did you like the most?,Do you think regular change of government promotes development?,What is your opinion on the most suitable Prime Ministerial candidate?,What do you think is the most important challenge facing the country today?,Share your thoughts on the current government's performance.,What is your opinion on Narendra Modi's leadership?
Amit Sharma,33,Non-binary,Urban,2021,Able to vote,A day or two before voting,PM candidate,Not sure,No response,"No one, I voted on my own",No response,Somewhat,Yes,No response,5,Economy,Yes,No,No,5,Improving infrastructure,Statement 2: Important for the same party to remain,No response,Poverty alleviation programs are not reaching the grassroots.,Employment generation has not kept up with promises.,Agricultural reforms under him are controversial but necessary.
Amit Sharma,33,Non-binary,Urban,2022,Not able to vote,A day or two before voting,No response,Not sure,No response,Local political leader,Did not have necessary documents,Not at all,Did not respond,Much worse,4,Education,Not sure,Yes,No,1,Other,No response,Arvind Kejriwal,Water scarcity is a growing challenge in arid regions.,Skill development initiatives are showing results slowly.,His ability to connect with the masses is unmatched.
Amit Sharma,33,Non-binary,Urban,2023,Able to vote,Even before announcement of candidates,Party,BSP,No response,Don't know,No response,Not at all,Yes,Much better,3,Education,Not sure,Yes,Don't know,4,Modi's leadership,Statement 2: Important for the same party to remain,No response,Rising inflation is affecting middle-class families heavily.,Policy implementation varies significantly by state.,His communication skills are his strongest asset.
Amit Sharma,33,Non-binary,Urban,2024,Able to vote,During the campaign,Candidate,AAP,No response,Don't know,No response,Somewhat,Did not respond,No response,5,Education,No,No,Yes,4,Reducing poverty,Statement 2: Important for the same party to remain,Arvind Kejriwal,Corruption is still pervasive in many sectors.,Public transport systems have improved drastically.,There is a clear gap between his vision and execution.
Amit Sharma,33,Non-binary,Urban,2025,Not able to vote,On the day of voting,PM candidate,BSP,No response,Don't know,Other,Great deal,No,Better,5,National Security,Not sure,Yes,Yes,3,Other,Statement 1: Promotes development,Narendra Modi,Water scarcity is a growing challenge in arid regions.,Employment generation has not kept up with promises.,His reforms are long-term but challenging in the short term.
Simran Chopra,42,Male,Rural,2020,Able to vote,After announcement of candidates,PM candidate,BJP,No response,"No one, I voted on my own",No response,Not at all,Don't know,Remained same,1,Economy,Not sure,Yes,Yes,4,Global image,No response,Narendra Modi,The divide between urban and rural areas is widening.,The crackdown on black money is partially effective.,Agricultural reforms under him are controversial but necessary.
Simran Chopra,42,Male,Rural,2021,Not able to vote,After announcement of candidates,No response,BSP,No response,Don't know,Did not have necessary documents,No response,Don't know,Much worse,3,Economy,No,No,Don't know,5,Reducing poverty,No response,Narendra Modi,Judicial delays are denying timely justice.,The crackdown on black money is partially effective.,Social welfare programs have expanded under his tenure.
Simran Chopra,42,Male,Rural,2022,Able to vote,After announcement of candidates,PM candidate,AAP,No good alternative,Local political leader,No response,Not at all,Yes,No response,5,National Security,Not sure,Yes,No,4,Other,Statement 1: Promotes development,Arvind Kejriwal,Skilled labor training is insufficient to meet industry demands.,"Economic growth is visible, but inflation persists.",Economic policies under him are bold but risky.
Simran Chopra,42,Male,Rural,2023,Able to vote,Even before announcement of candidates,No response,BSP,Really wanted to vote,Don't know,No response,No response,Did not respond,Better,2,Education,Not sure,No,No,1,Employment opportunities,Statement 2: Important for the same party to remain,No response,Accessibility for the differently-abled is often ignored.,Skill development initiatives are showing results slowly.,Modi has brought India global recognition like never before.
Simran Chopra,42,Male,Rural,2024,Able to vote,During the campaign,Candidate,AAP,No response,Caste/community leader,No response,Great deal,No,Much better,3,Other,Not sure,No,Don't know,1,Modi's leadership,Statement 2: Important for the same party to remain,Arvind Kejriwal,Judicial delays are denying timely justice.,The crackdown on black money is partially effective.,Modi's charisma has inspired millions across the nation.
Simran Chopra,42,Male,Rural,2025,Able to vote,A day or two before voting,PM candidate,INC,No good alternative,"No one, I voted on my own",No response,Great deal,Yes,Better,3,Economy,No,No,No,2,Reducing poverty,No response,Other,Unemployment among the youth is alarming.,Policy implementation varies significantly by state.,His governance style is centralized but effective.
Rajesh Saxena,58,Non-binary,Rural,2020,Able to vote,On the day of voting,Candidate,INC,Really wanted to vote,Family member,No response,No response,No,Much worse,1,Healthcare,Not sure,No,No,4,No response,No response,Other,Poverty alleviation programs are not reaching the grassroots.,Budget allocations favor the wealthy over the poor.,He has a strong focus on national security.
Rajesh Saxena,58,Non-binary,Rural,2021,Able to vote,After announcement of candidates,PM candidate,INC,No response,Don't know,No response,Great deal,Did not respond,No response,4,Other,Not sure,No,Yes,1,No response,Statement 1: Promotes development,Other,Corruption is still pervasive in many sectors.,"Economic growth is visible, but inflation persists.",Social welfare programs have expanded under his tenure.
Rajesh Saxena,58,Non-binary,Rural,2022,Able to vote,Even before announcement of candidates,Candidate,INC,No good alternative,Other,No response,Somewhat,No,Much better,3,Healthcare,No,Yes,No,1,Modi's leadership,Statement 1: Promotes development,Narendra Modi,Corruption is still pervasive in many sectors.,Budget allocations favor the wealthy over the poor.,Agricultural reforms under him are controversial but necessary.
Rajesh Saxena,58,Non-binary,Rural,2023,Able to vote,No response,No response,INC,No response,Family member,No response,No response,Yes,Remained same,4,National Security,Not sure,Yes,Don't know,1,No response,Statement 1: Promotes development,Arvind Kejriwal,The disparity in healthcare costs is concerning.,The infrastructure development has been remarkable.,He has set a high bar for future leadership.
Rajesh Saxena,58,Non-binary,Rural,2024,Able to vote,Even before announcement of candidates,No response,AAP,Really wanted to vote,"No one, I voted on my own",No response,No response,Did not respond,Much worse,3,National Security,No,No,No,5,Improving infrastructure,No response,Arvind Kejriwal,Corruption is still pervasive in many sectors.,Environmental conservation is not getting due priority.,Modi has brought India global recognition like never before.
Rajesh Saxena,58,Non-binary,Rural,2025,Able to vote,A day or two before voting,Candidate,BSP,Really wanted to vote,Friends/neighbors,No response,Great deal,No,Much better,3,Economy,Yes,No,Don't know,5,Global image,Statement 1: Promotes development,Rahul Gandhi,The divide between urban and rural areas is widening.,The push for renewable energy is commendable.,His leadership is visionary but divisive at times.
Meera Patel,28,Non-binary,Rural,2020,Not able to vote,A day or two before voting,Candidate,Not sure,Really wanted to vote,Other,Did not feel like voting,Not at all,Did not respond,Remained same,4,Other,No,Yes,Yes,2,Improving infrastructure,No response,Rahul Gandhi,Healthcare in rural areas is inadequate.,Ease of doing business has improved visibly.,His policies have been harsh on small businesses.
Meera Patel,28,Non-binary,Rural,2021,Able to vote,A day or two before voting,PM candidate,BJP,No response,"No one, I voted on my own",No response,Great deal,Did not respond,Much better,5,Other,Not sure,No,Yes,2,Improving infrastructure,No response,Narendra Modi,Agriculture reforms are needed for farmer sustainability.,The crackdown on black money is partially effective.,The handling of economic crises is his weak point.
Meera Patel,28,Non-binary,Rural,2022,Able to vote,No response,No response,Not sure,No good alternative,Don't know,No response,No response,Yes,Much worse,2,Economy,Not sure,No,No,2,Improving infrastructure,Statement 1: Promotes development,Rahul Gandhi,Corruption is still pervasive in many sectors.,"Economic growth is visible, but inflation persists.",The handling of economic crises is his weak point.
Meera Patel,28,Non-binary,Rural,2023,Not able to vote,A day or two before voting,No response,Not sure,No response,Don't know,Did not feel like voting,Not at all,Yes,Much worse,3,Other,No,Yes,Don't know,2,No response,No response,Rahul Gandhi,Environmental degradation is becoming a crisis.,Skill development initiatives are showing results slowly.,His communication skills are his strongest asset.
Meera Patel,28,Non-binary,Rural,2024,Not able to vote,During the campaign,Party,INC,No good alternative,Religious leader,Was not in village/city,Great deal,Did not respond,Remained same,2,Economy,Yes,Yes,Yes,4,Modi's leadership,No response,Narendra Modi,The lack of job security in the gig economy is troubling.,"Economic growth is visible, but inflation persists.",Agricultural reforms under him are controversial but necessary.
Meera Patel,28,Non-binary,Rural,2025,Able to vote,No response,Party,INC,Really wanted to vote,Don't know,No response,Not at all,No,Much worse,2,Other,Yes,Yes,Yes,3,No response,Statement 2: Important for the same party to remain,No response,Accessibility for the differently-abled is often ignored.,Employment generation has not kept up with promises.,His ability to connect with the masses is unmatched.
Rohan Gupta,32,Female,Suburban,2020,Not able to vote,No response,Candidate,INC,Really wanted to vote,Other,Other,Not at all,Yes,Much worse,1,National Security,Yes,No,No,5,Modi's leadership,Statement 2: Important for the same party to remain,Narendra Modi,Access to quality education is a significant concern.,"Defense upgrades are a good move, but expensive.",The Make in India initiative is gaining traction.
Rohan Gupta,32,Female,Suburban,2021,Not able to vote,No response,No response,AAP,No good alternative,Family member,Did not have necessary documents,No response,Yes,Remained same,4,Economy,No,Yes,Don't know,5,Employment opportunities,Statement 2: Important for the same party to remain,Arvind Kejriwal,Skilled labor training is insufficient to meet industry demands.,Support for startups has been promising.,His governance style is centralized but effective.
Rohan Gupta,32,Female,Suburban,2022,Able to vote,On the day of voting,No response,Not sure,Really wanted to vote,Don't know,No response,Not at all,Don't know,No response,4,National Security,No,No,Don't know,2,Reducing poverty,Statement 2: Important for the same party to remain,Arvind Kejriwal,The disparity in healthcare costs is concerning.,The infrastructure development has been remarkable.,His leadership is visionary but divisive at times.
Rohan Gupta,32,Female,Suburban,2023,Not able to vote,No response,Party,BJP,No good alternative,Other,Other,Great deal,No,Better,4,Healthcare,Yes,Yes,No,3,Reducing poverty,No response,Narendra Modi,Women safety and empowerment need more focus.,The crackdown on black money is partially effective.,His communication skills are his strongest asset.
Rohan Gupta,32,Female,Suburban,2024,Able to vote,During the campaign,Party,BJP,No response,Religious leader,No response,No response,Did not respond,Better,4,National Security,Yes,No,Yes,2,Other,No response,Narendra Modi,Transportation infrastructure needs massive upgrades.,Environmental conservation is not getting due priority.,He has a polarizing effect on the electorate.
Rohan Gupta,32,Female,Suburban,2025,Able to vote,On the day of voting,Party,BJP,No response,Religious leader,No response,Not at all,No,Better,5,Economy,No,No,Yes,3,Other,Statement 2: Important for the same party to remain,Narendra Modi,Digital literacy is critical for inclusive growth.,"Defense upgrades are a good move, but expensive.",Modi has brought India global recognition like never before.
Ananya Singh,49,Male,Urban,2020,Able to vote,After announcement of candidates,Candidate,Not sure,No response,"No one, I voted on my own",No response,Somewhat,Did not respond,No response,1,Healthcare,No,No,Don't know,2,Modi's leadership,Statement 1: Promotes development,Other,Transportation infrastructure needs massive upgrades.,"Defense upgrades are a good move, but expensive.",Digital India is one of his landmark achievements.
Ananya Singh,49,Male,Urban,2021,Not able to vote,A day or two before voting,Party,Not sure,Really wanted to vote,Local political leader,Did not feel like voting,No response,Did not respond,Worse,1,Economy,Not sure,No,Don't know,2,Reducing poverty,No response,No response,Women safety and empowerment need more focus.,The infrastructure development has been remarkable.,He has a polarizing effect on the electorate.
Ananya Singh,49,Male,Urban,2022,Not able to vote,No response,PM candidate,AAP,No good alternative,Religious leader,Was not in village/city,Not at all,No,Better,5,Economy,Yes,No,Don't know,2,No response,No response,Arvind Kejriwal,Judicial delays are denying timely justice.,Employment generation has not kept up with promises.,Modi's charisma has inspired millions across the nation.
Ananya Singh,49,Male,Urban,2023,Not able to vote,During the campaign,Candidate,AAP,No good alternative,"No one, I voted on my own",Was not in village/city,No response,Don't know,Better,5,Other,Yes,Yes,No,1,Global image,Statement 1: Promotes development,Arvind Kejriwal,Access to quality education is a significant concern.,Corruption scandals are less frequent but not eradicated.,His reforms are long-term but challenging in the short term.
Ananya Singh,49,Male,Urban,2024,Able to vote,No response,Party,BJP,No good alternative,Don't know,No response,Not at all,Yes,Worse,3,Economy,No,Yes,No,2,Improving infrastructure,Statement 2: Important for the same party to remain,Narendra Modi,Women safety and empowerment need more focus.,Social harmony remains a challenge for this government.,Modi has brought India global recognition like never before.
Ananya Singh,49,Male,Urban,2025,Able to vote,On the day of voting,Candidate,BSP,No response,Friends/neighbors,No response,Not at all,Don't know,Much worse,5,Education,Not sure,Yes,Don't know,1,Improving infrastructure,Statement 1: Promotes development,Arvind Kejriwal,Judicial delays are denying timely justice.,The crackdown on black money is partially effective.,Criticism on freedom of speech has grown under his tenure.
Rohan ansari,36,Female,Rural,2020,Able to vote,After announcement of candidates,Candidate,Not sure,No good alternative,Religious leader,No response,Not at all,Did not respond,Better,3,Other,No,No,No,1,Employment opportunities,No response,Other,Agriculture reforms are needed for farmer sustainability.,Education initiatives are underfunded and overlooked.,He has a strong focus on national security.
Rohan ansari,36,Female,Rural,2021,Not able to vote,Even before announcement of candidates,Candidate,BSP,Really wanted to vote,Friends/neighbors,Was ill,Not at all,No,Much worse,3,Other,Yes,Yes,Yes,3,No response,Statement 2: Important for the same party to remain,Priyanka Gandhi,Water scarcity is a growing challenge in arid regions.,Skill development initiatives are showing results slowly.,His ability to connect with the masses is unmatched.
Rohan ansari,36,Female,Rural,2022,Able to vote,During the campaign,PM candidate,INC,Really wanted to vote,Don't know,No response,Somewhat,Don't know,Much better,1,Economy,Yes,No,Yes,2,Reducing poverty,Statement 2: Important for the same party to remain,Other,Transportation infrastructure needs massive upgrades.,Policy implementation varies significantly by state.,The handling of economic crises is his weak point.
Rohan ansari,36,Female,Rural,2023,Not able to vote,A day or two before voting,Party,Not sure,Really wanted to vote,Other,Did not feel like voting,Not at all,No,Worse,5,Healthcare,Yes,No,Yes,3,Other,Statement 2: Important for the same party to remain,No response,Rising inflation is affecting middle-class families heavily.,Public transport systems have improved drastically.,The focus on infrastructure is highly appreciated.
Rohan ansari,36,Female,Rural,2024,Not able to vote,On the day of voting,Candidate,Not sure,No good alternative,"No one, I voted on my own",Was ill,Somewhat,No,Worse,2,National Security,Not sure,Yes,No,3,Global image,Statement 1: Promotes development,Priyanka Gandhi,Public housing availability is still very low.,The push for renewable energy is commendable.,His ability to connect with the masses is unmatched.
Rohan ansari,36,Female,Rural,2025,Not able to vote,During the campaign,Party,BSP,No response,Other,Was ill,Somewhat,Yes,Much better,1,Healthcare,Yes,Yes,No,1,Improving infrastructure,Statement 2: Important for the same party to remain,Other,Judicial delays are denying timely justice.,Healthcare schemes are ambitious but lack execution.,Agricultural reforms under him are controversial but necessary.
Aditi Das,56,Female,Suburban,2020,Not able to vote,During the campaign,No response,BJP,Really wanted to vote,Local political leader,No response,Not at all,Did not respond,Better,2,Other,No,Yes,Yes,4,Global image,Statement 1: Promotes development,Narendra Modi,The lack of job security in the gig economy is troubling.,Education initiatives are underfunded and overlooked.,Economic policies under him are bold but risky.
Aditi Das,56,Female,Suburban,2021,Able to vote,No response,Candidate,AAP,Really wanted to vote,Other,No response,Somewhat,Did not respond,Much better,1,National Security,No,No,No,5,Modi's leadership,Statement 1: Promotes development,Arvind Kejriwal,Public housing availability is still very low.,Policy implementation varies significantly by state.,Agricultural reforms under him are controversial but necessary.
Aditi Das,56,Female,Suburban,2022,Not able to vote,Even before announcement of candidates,No response,Not sure,No response,Don't know,Other,Not at all,Don't know,Much worse,5,National Security,Yes,Yes,No,3,Other,Statement 2: Important for the same party to remain,Rahul Gandhi,Judicial delays are denying timely justice.,Healthcare schemes are ambitious but lack execution.,He has a polarizing effect on the electorate.
Aditi Das,56,Female,Suburban,2023,Not able to vote,No response,No response,BSP,Really wanted to vote,Local political leader,Was not in village/city,No response,Yes,Remained same,3,National Security,No,No,Don't know,4,Other,Statement 1: Promotes development,Narendra Modi,Environmental degradation is becoming a crisis.,"Defense upgrades are a good move, but expensive.",His governance style is centralized but effective.
Aditi Das,56,Female,Suburban,2024,Not able to vote,During the campaign,PM candidate,BJP,No good alternative,Local political leader,Other,Somewhat,No,No response,5,Healthcare,No,No,No,3,Employment opportunities,Statement 2: Important for the same party to remain,Narendra Modi,Poverty alleviation programs are not reaching the grassroots.,Public transport systems have improved drastically.,Social welfare programs have expanded under his tenure.
Aditi Das,56,Female,Suburban,2025,Able to vote,No response,Candidate,BJP,Really wanted to vote,Local political leader,No response,Somewhat,Don't know,No response,3,National Security,Yes,No,Yes,4,Improving infrastructure,No response,Narendra Modi,Unemployment among the youth is alarming.,Public transport systems have improved drastically.,He has set a high bar for future leadership.
Siddharth Mehta,52,Non-binary,Rural,2020,Able to vote,Even before announcement of candidates,PM candidate,INC,No response,Religious leader,No response,Not at all,Yes,Worse,2,Healthcare,Yes,No,Don't know,4,Employment opportunities,Statement 1: Promotes development,No response,Corruption is still pervasive in many sectors.,Employment generation has not kept up with promises.,Agricultural reforms under him are controversial but necessary.
Siddharth Mehta,52,Non-binary,Rural,2021,Not able to vote,After announcement of candidates,Candidate,AAP,Really wanted to vote,Don't know,Did not have necessary documents,Great deal,Yes,Worse,2,National Security,Not sure,No,Don't know,2,Other,No response,Arvind Kejriwal,Water scarcity is a growing challenge in arid regions.,The push for renewable energy is commendable.,Digital India is one of his landmark achievements.
Siddharth Mehta,52,Non-binary,Rural,2022,Able to vote,Even before announcement of candidates,No response,Not sure,No good alternative,Caste/community leader,No response,Not at all,Yes,No response,5,Healthcare,No,Yes,Yes,3,Other,Statement 1: Promotes development,Arvind Kejriwal,Skilled labor training is insufficient to meet industry demands.,The infrastructure development has been remarkable.,Digital India is one of his landmark achievements.
Siddharth Mehta,52,Non-binary,Rural,2023,Able to vote,On the day of voting,PM candidate,INC,No response,Local political leader,No response,No response,Don't know,Much better,1,Other,Yes,Yes,Don't know,3,Improving infrastructure,No response,Rahul Gandhi,Corruption is still pervasive in many sectors.,Technology integration in governance is appreciated.,There is a clear gap between his vision and execution.
Siddharth Mehta,52,Non-binary,Rural,2024,Able to vote,No response,PM candidate,INC,Really wanted to vote,"No one, I voted on my own",No response,Not at all,No,Worse,4,Healthcare,Yes,No,Don't know,5,Improving infrastructure,No response,Other,Accessibility for the differently-abled is often ignored.,Environmental conservation is not getting due priority.,He has set a high bar for future leadership.
Siddharth Mehta,52,Non-binary,Rural,2025,Able to vote,During the campaign,PM candidate,INC,No good alternative,"No one, I voted on my own",No response,Somewhat,No,Much worse,5,Healthcare,No,No,No,1,Reducing poverty,Statement 2: Important for the same party to remain,Arvind Kejriwal,Agriculture reforms are needed for farmer sustainability.,The crackdown on black money is partially effective.,His governance style is centralized but effective.
Asha Gupta,47,Female,Rural,2020,Able to vote,On the day of voting,No response,AAP,No response,Local political leader,No response,Not at all,Did not respond,Much better,1,Other,Yes,No,No,2,Reducing poverty,No response,Arvind Kejriwal,Access to quality education is a significant concern.,Global relations have strengthened under this government.,Modi has brought India global recognition like never before.
Asha Gupta,47,Female,Rural,2021,Able to vote,On the day of voting,PM candidate,BJP,No response,Don't know,No response,No response,Yes,Much better,2,National Security,Yes,No,No,5,No response,No response,Narendra Modi,The lack of job security in the gig economy is troubling.,Environmental conservation is not getting due priority.,Economic policies under him are bold but risky.
Asha Gupta,47,Female,Rural,2022,Able to vote,No response,Candidate,BJP,No response,Local political leader,No response,Somewhat,No,Worse,1,Economy,No,No,Don't know,5,Reducing poverty,Statement 2: Important for the same party to remain,Narendra Modi,Digital literacy is critical for inclusive growth.,Education initiatives are underfunded and overlooked.,His ability to connect with the masses is unmatched.
Asha Gupta,47,Female,Rural,2023,Not able to vote,On the day of voting,PM candidate,Not sure,No good alternative,Caste/community leader,Was ill,No response,Don't know,No response,2,Economy,Yes,Yes,Yes,5,Global image,No response,Other,Environmental degradation is becoming a crisis.,Healthcare schemes are ambitious but lack execution.,He has a polarizing effect on the electorate.
Asha Gupta,47,Female,Rural,2024,Able to vote,Even before announcement of candidates,Party,INC,No good alternative,Caste/community leader,No response,Somewhat,Don't know,Much better,2,Economy,No,Yes,Yes,3,Improving infrastructure,Statement 1: Promotes development,Arvind Kejriwal,Public housing availability is still very low.,The push for renewable energy is commendable.,His governance style is centralized but effective.
Asha Gupta,47,Female,Rural,2025,Able to vote,After announcement of candidates,Party,BSP,Really wanted to vote,Don't know,No response,Somewhat,Did not respond,No response,5,Education,Not sure,No,Yes,3,Other,Statement 2: Important for the same party to remain,Other,Corruption is still pervasive in many sectors.,Efforts on poverty alleviation show mixed results.,He has a strong focus on national security.
sandeep Nair,22,Male,Rural,2020,Able to vote,During the campaign,Party,BSP,No good alternative,Caste/community leader,No response,No response,Did not respond,Remained same,3,Education,No,Yes,No,5,Improving infrastructure,Statement 1: Promotes development,No response,Transportation infrastructure needs massive upgrades.,"Economic growth is visible, but inflation persists.",His governance style is centralized but effective.
sandeep Nair,22,Male,Rural,2021,Able to vote,Even before announcement of candidates,PM candidate,INC,Really wanted to vote,Other,No response,Great deal,Don't know,Remained same,2,National Security,Not sure,Yes,No,3,Improving infrastructure,Statement 1: Promotes development,Rahul Gandhi,Access to quality education is a significant concern.,Budget allocations favor the wealthy over the poor.,His leadership is visionary but divisive at times.
sandeep Nair,22,Male,Rural,2022,Not able to vote,No response,PM candidate,BSP,Really wanted to vote,Friends/neighbors,Did not feel like voting,Great deal,No,Much better,3,National Security,Not sure,Yes,Don't know,1,No response,Statement 2: Important for the same party to remain,Other,Public housing availability is still very low.,Corruption scandals are less frequent but not eradicated.,His communication skills are his strongest asset.
sandeep Nair,22,Male,Rural,2023,Able to vote,A day or two before voting,Candidate,BSP,Really wanted to vote,"No one, I voted on my own",No response,Not at all,No,Better,4,National Security,No,No,Don't know,5,Modi's leadership,Statement 2: Important for the same party to remain,Arvind Kejriwal,Access to quality education is a significant concern.,"Economic growth is visible, but inflation persists.",His reforms are long-term but challenging in the short term.
sandeep Nair,22,Male,Rural,2024,Able to vote,During the campaign,Party,BJP,Really wanted to vote,Friends/neighbors,No response,Not at all,Did not respond,Much better,2,Other,Yes,No,Yes,4,Global image,Statement 1: Promotes development,Narendra Modi,Corruption is still pervasive in many sectors.,"Economic growth is visible, but inflation persists.",His communication skills are his strongest asset.
sandeep Nair,22,Male,Rural,2025,Not able to vote,Even before announcement of candidates,Candidate,INC,No good alternative,Family member,Was not in village/city,No response,No,No response,1,Other,Not sure,No,Yes,3,Other,Statement 2: Important for the same party to remain,Priyanka Gandhi,Tax reforms should be simplified for small businesses.,"Defense upgrades are a good move, but expensive.",Economic policies under him are bold but risky.
Priya Saxena,53,Non-binary,Rural,2020,Not able to vote,A day or two before voting,Candidate,INC,No good alternative,Caste/community leader,Other,No response,Don't know,No response,4,Education,No,Yes,Yes,1,Improving infrastructure,No response,No response,Digital literacy is critical for inclusive growth.,Employment generation has not kept up with promises.,His reforms are long-term but challenging in the short term.
Priya Saxena,53,Non-binary,Rural,2021,Not able to vote,After announcement of candidates,Candidate,BJP,No good alternative,Religious leader,Other,No response,Yes,Better,1,Other,Yes,No,No,5,Other,Statement 2: Important for the same party to remain,Narendra Modi,Accessibility for the differently-abled is often ignored.,The crackdown on black money is partially effective.,The handling of economic crises is his weak point.
Priya Saxena,53,Non-binary,Rural,2022,Not able to vote,On the day of voting,Candidate,INC,No response,Other,Was not in village/city,Great deal,Don't know,Much better,2,Other,Not sure,Yes,Yes,4,Reducing poverty,Statement 1: Promotes development,Arvind Kejriwal,Women safety and empowerment need more focus.,Employment generation has not kept up with promises.,Agricultural reforms under him are controversial but necessary.
Priya Saxena,53,Non-binary,Rural,2023,Not able to vote,After announcement of candidates,Party,BSP,No response,Local political leader,Did not have necessary documents,Great deal,No,Much worse,2,Economy,Not sure,No,No,3,No response,No response,Priyanka Gandhi,The disparity in healthcare costs is concerning.,Education initiatives are underfunded and overlooked.,Social welfare programs have expanded under his tenure.
Priya Saxena,53,Non-binary,Rural,2024,Able to vote,Even before announcement of candidates,Candidate,AAP,No good alternative,Don't know,No response,No response,Yes,Worse,1,Education,No,Yes,No,1,Other,Statement 1: Promotes development,Arvind Kejriwal,Agriculture reforms are needed for farmer sustainability.,Global relations have strengthened under this government.,Criticism on freedom of speech has grown under his tenure.
Priya Saxena,53,Non-binary,Rural,2025,Able to vote,No response,Candidate,BJP,Really wanted to vote,Caste/community leader,No response,Somewhat,Yes,Much worse,2,National Security,Not sure,No,No,1,Global image,Statement 1: Promotes development,Narendra Modi,The disparity in healthcare costs is concerning.,Global relations have strengthened under this government.,His communication skills are his strongest asset.
Aditya Nair,29,Male,Urban,2020,Not able to vote,During the campaign,No response,INC,No response,Family member,Did not feel like voting,No response,Did not respond,Much worse,1,National Security,No,Yes,Yes,4,Other,No response,Rahul Gandhi,Digital literacy is critical for inclusive growth.,Policy implementation varies significantly by state.,His ability to connect with the masses is unmatched.
Aditya Nair,29,Male,Urban,2021,Not able to vote,No response,Candidate,AAP,Really wanted to vote,Other,Did not feel like voting,Not at all,Yes,Worse,1,National Security,Not sure,No,Don't know,1,Global image,No response,Arvind Kejriwal,The lack of job security in the gig economy is troubling.,Technology integration in governance is appreciated.,Modi's charisma has inspired millions across the nation.
Aditya Nair,29,Male,Urban,2022,Not able to vote,A day or two before voting,PM candidate,BSP,No good alternative,Family member,Did not feel like voting,Great deal,Did not respond,Much better,3,Economy,Not sure,No,Yes,4,No response,No response,Narendra Modi,Digital literacy is critical for inclusive growth.,"Economic growth is visible, but inflation persists.",Digital India is one of his landmark achievements.
Aditya Nair,29,Male,Urban,2023,Not able to vote,After announcement of candidates,Party,BSP,Really wanted to vote,Other,No response,Great deal,Did not respond,Remained same,1,National Security,Yes,Yes,Don't know,5,Reducing poverty,Statement 1: Promotes development,Narendra Modi,Unemployment among the youth is alarming.,Public transport systems have improved drastically.,His communication skills are his strongest asset.
Aditya Nair,29,Male,Urban,2024,Not able to vote,A day or two before voting,No response,BSP,No response,Family member,Was not in village/city,Somewhat,Don't know,Better,3,Healthcare,Not sure,No,Don't know,3,Modi's leadership,Statement 2: Important for the same party to remain,No response,Transportation infrastructure needs massive upgrades.,Efforts on poverty alleviation show mixed results.,He has set a high bar for future leadership.
Aditya Nair,29,Male,Urban,2025,Able to vote,After announcement of candidates,No response,AAP,Really wanted to vote,Local political leader,No response,Not at all,No,Better,3,Education,No,Yes,No,2,Employment opportunities,Statement 2: Important for the same party to remain,Arvind Kejriwal,Access to quality education is a significant concern.,The crackdown on black money is partially effective.,His reforms are long-term but challenging in the short term.
Ishita Chopra,43,Non-binary,Urban,2020,Able to vote,Even before announcement of candidates,Party,INC,Really wanted to vote,Local political leader,No response,Great deal,No,Better,4,Education,No,Yes,Don't know,5,Modi's leadership,Statement 1: Promotes development,Arvind Kejriwal,Unemployment among the youth is alarming.,Environmental conservation is not getting due priority.,His reforms are long-term but challenging in the short term.
Ishita Chopra,43,Non-binary,Urban,2021,Not able to vote,During the campaign,Candidate,BJP,No response,Other,Other,Somewhat,Yes,Better,3,Healthcare,Not sure,No,Yes,1,Employment opportunities,No response,Narendra Modi,The lack of job security in the gig economy is troubling.,Policy implementation varies significantly by state.,Social welfare programs have expanded under his tenure.
Ishita Chopra,43,Non-binary,Urban,2022,Not able to vote,Even before announcement of candidates,No response,BJP,No good alternative,Friends/neighbors,Did not feel like voting,No response,Yes,Worse,5,Healthcare,No,Yes,No,2,Other,No response,Narendra Modi,Digital literacy is critical for inclusive growth.,Skill development initiatives are showing results slowly.,He has a strong focus on national security.
Ishita Chopra,43,Non-binary,Urban,2023,Able to vote,After announcement of candidates,Party,BJP,No good alternative,"No one, I voted on my own",No response,Somewhat,No,Much better,5,Economy,Not sure,Yes,Don't know,3,Employment opportunities,Statement 1: Promotes development,Narendra Modi,Tax reforms should be simplified for small businesses.,Support for startups has been promising.,He has a polarizing effect on the electorate.
Ishita Chopra,43,Non-binary,Urban,2024,Not able to vote,During the campaign,Party,INC,No good alternative,Caste/community leader,Was ill,Great deal,Don't know,Remained same,5,Education,No,Yes,No,4,Employment opportunities,Statement 2: Important for the same party to remain,Narendra Modi,Women safety and empowerment need more focus.,"Economic growth is visible, but inflation persists.",His communication skills are his strongest asset.
