name,age,gender,location,year,Were you able to vote in the recent Lok Sabha election?,When did you decide whom to vote for?,What mattered more to you in this election party or candidate?,Which party do you prefer overall?,Did you vote for this party because you really wanted to or due to lack of alternatives?,Whose opinion mattered the most while deciding whom to vote for?,Why were you not able to vote in the recent Lok Sabha election?,How interested were you in the election campaign this time?,Were you or a family member contacted by political parties through phone or social media?,"As compared to five years ago, how is the economic condition of your household today?",Rate the effectiveness of the recent government policies (1 to 5),What is your top issue for this election?,Do you think the government is handling inflation effectively?,Has your trust in the judiciary improved over the last five years?,Did a candidate or party member visit your house to ask for your vote?,How satisfied are you with the BJP-led NDA government's performance over the last five years? Rate (1 to 5),Which government work in the last five years did you like the most?,Do you think regular change of government promotes development?,What is your opinion on the most suitable Prime Ministerial candidate?
Riya Patel,25,Female,Rural,2020,Not able to vote,A day or two before voting,PM candidate,BJP,No response,"No one, I voted on my own",Was ill,Great deal,Did not respond,Much better,1,Economy,No,No,Yes,4,Global image,Statement 2: Important for the same party to remain,Arvind Kejriwal
Riya Patel,25,Female,Rural,2021,Able to vote,After announcement of candidates,No response,BJP,No good alternative,Other,No response,Great deal,Don't know,Worse,3,National Security,Not sure,No,Yes,4,Other,Statement 2: Important for the same party to remain,Other
Riya Patel,25,Female,Rural,2022,Not able to vote,Even before announcement of candidates,Candidate,BSP,Really wanted to vote,Caste/community leader,No response,Somewhat,Don't know,Much worse,2,Education,Not sure,No,Yes,1,Modi's leadership,Statement 1: Promotes development,Rahul Gandhi
Riya Patel,25,Female,Rural,2023,Able to vote,No response,Party,BSP,No response,Friends/neighbors,Other,No response,No,Remained same,4,Education,No,Yes,Don't know,4,Employment opportunities,No response,Priyanka Gandhi
Riya Patel,25,Female,Rural,2024,Not able to vote,Even before announcement of candidates,Party,BSP,No good alternative,Friends/neighbors,Other,No response,No,Much better,3,Healthcare,Not sure,No,No,1,Other,Statement 1: Promotes development,Rahul Gandhi
Riya Patel,25,Female,Rural,2025,Not able to vote,Even before announcement of candidates,Candidate,Not sure,No good alternative,Friends/neighbors,Did not feel like voting,Great deal,Don't know,Much better,2,National Security,Not sure,Yes,Yes,4,Other,No response,Other
Siddharth Patel,52,Non-binary,Suburban,2020,Able to vote,During the campaign,PM candidate,BSP,No good alternative,"No one, I voted on my own",Did not have necessary documents,Somewhat,Yes,Much better,3,Education,Yes,No,Don't know,3,Global image,Statement 1: Promotes development,Arvind Kejriwal
Siddharth Patel,52,Non-binary,Suburban,2021,Able to vote,Even before announcement of candidates,Party,BJP,Really wanted to vote,Local political leader,Other,Not at all,No,Worse,4,Education,Yes,No,Yes,2,Employment opportunities,Statement 2: Important for the same party to remain,No response
Siddharth Patel,52,Non-binary,Suburban,2022,Able to vote,During the campaign,PM candidate,Not sure,No response,Caste/community leader,Other,Somewhat,Yes,Worse,1,Education,Not sure,No,Don't know,2,Employment opportunities,No response,Priyanka Gandhi
Siddharth Patel,52,Non-binary,Suburban,2023,Not able to vote,No response,Party,INC,Really wanted to vote,Caste/community leader,Did not feel like voting,Somewhat,No,Much better,1,Healthcare,No,Yes,Don't know,3,Modi's leadership,Statement 1: Promotes development,Rahul Gandhi
Siddharth Patel,52,Non-binary,Suburban,2024,Not able to vote,Even before announcement of candidates,Candidate,INC,No good alternative,Friends/neighbors,No response,Somewhat,Did not respond,Much better,2,Healthcare,Not sure,Yes,Don't know,2,Improving infrastructure,No response,Priyanka Gandhi
Siddharth Patel,52,Non-binary,Suburban,2025,Able to vote,A day or two before voting,PM candidate,BJP,Really wanted to vote,Local political leader,Did not feel like voting,Somewhat,No,Better,2,Education,Not sure,No,No,2,No response,Statement 2: Important for the same party to remain,Priyanka Gandhi
Nisha Mishra,35,Male,Rural,2020,Able to vote,A day or two before voting,Party,Not sure,No good alternative,"No one, I voted on my own",Other,Somewhat,Did not respond,Worse,1,Economy,Yes,No,Yes,3,Improving infrastructure,No response,Rahul Gandhi
Nisha Mishra,35,Male,Rural,2021,Not able to vote,No response,Party,BJP,Really wanted to vote,Friends/neighbors,Other,No response,Did not respond,Worse,4,Economy,Not sure,No,Don't know,5,Global image,Statement 2: Important for the same party to remain,Arvind Kejriwal
Nisha Mishra,35,Male,Rural,2022,Not able to vote,During the campaign,PM candidate,BJP,No response,Friends/neighbors,Was not in village/city,Great deal,Did not respond,No response,3,Education,No,No,Yes,4,Modi's leadership,Statement 2: Important for the same party to remain,Arvind Kejriwal
Nisha Mishra,35,Male,Rural,2023,Not able to vote,No response,PM candidate,BJP,No good alternative,Caste/community leader,No response,Not at all,Yes,No response,3,Healthcare,Not sure,Yes,Don't know,2,Improving infrastructure,No response,Other
Nisha Mishra,35,Male,Rural,2024,Able to vote,A day or two before voting,Party,BSP,No response,Other,Did not feel like voting,No response,Don't know,Worse,3,Healthcare,Not sure,No,No,2,Reducing poverty,No response,Arvind Kejriwal
Nisha Mishra,35,Male,Rural,2025,Able to vote,After announcement of candidates,Party,BJP,Really wanted to vote,Religious leader,Did not have necessary documents,Great deal,Did not respond,Remained same,1,National Security,No,Yes,Don't know,1,Reducing poverty,Statement 1: Promotes development,Arvind Kejriwal
Priya Pandey,41,Non-binary,Rural,2020,Not able to vote,Even before announcement of candidates,No response,BJP,No good alternative,Local political leader,Other,Not at all,Yes,No response,5,National Security,Not sure,No,Yes,1,Reducing poverty,No response,No response
Priya Pandey,41,Non-binary,Rural,2021,Not able to vote,A day or two before voting,PM candidate,AAP,No response,Religious leader,No response,Not at all,Don't know,Remained same,3,Other,No,Yes,No,5,Global image,Statement 2: Important for the same party to remain,Other
Priya Pandey,41,Non-binary,Rural,2022,Not able to vote,After announcement of candidates,Party,BSP,No good alternative,Local political leader,Did not feel like voting,Great deal,No,Worse,3,National Security,No,Yes,Don't know,2,Other,Statement 1: Promotes development,No response
Priya Pandey,41,Non-binary,Rural,2023,Not able to vote,After announcement of candidates,Candidate,BSP,Really wanted to vote,Friends/neighbors,No response,Great deal,Yes,Much better,1,Other,Not sure,No,No,3,Global image,Statement 2: Important for the same party to remain,Rahul Gandhi
Priya Pandey,41,Non-binary,Rural,2024,Able to vote,No response,Party,BJP,No good alternative,Family member,Did not have necessary documents,Not at all,Don't know,Worse,1,National Security,No,Yes,No,1,Global image,Statement 2: Important for the same party to remain,Narendra Modi
Priya Pandey,41,Non-binary,Rural,2025,Able to vote,On the day of voting,No response,BJP,No response,Other,Was not in village/city,Great deal,Did not respond,Much worse,4,Economy,Not sure,Yes,Don't know,5,Employment opportunities,No response,Narendra Modi
Riya Ghosh,28,Non-binary,Suburban,2020,Able to vote,After announcement of candidates,Party,BJP,Really wanted to vote,Don't know,Other,Somewhat,Did not respond,Remained same,5,Economy,Not sure,Yes,Yes,1,Employment opportunities,Statement 2: Important for the same party to remain,Narendra Modi
Riya Ghosh,28,Non-binary,Suburban,2021,Not able to vote,On the day of voting,PM candidate,BSP,Really wanted to vote,Family member,No response,No response,No,Better,1,Education,Not sure,Yes,No,4,Global image,Statement 1: Promotes development,No response
Riya Ghosh,28,Non-binary,Suburban,2022,Able to vote,Even before announcement of candidates,Candidate,BSP,No response,Other,Other,No response,Did not respond,No response,1,Economy,Yes,No,Don't know,2,Modi's leadership,Statement 2: Important for the same party to remain,Narendra Modi
Riya Ghosh,28,Non-binary,Suburban,2023,Not able to vote,After announcement of candidates,No response,BSP,Really wanted to vote,Friends/neighbors,Other,No response,Yes,Much better,3,Education,No,Yes,Don't know,5,Other,Statement 2: Important for the same party to remain,No response
Riya Ghosh,28,Non-binary,Suburban,2024,Not able to vote,On the day of voting,No response,AAP,No good alternative,Friends/neighbors,Other,No response,Did not respond,Much worse,1,Education,Yes,Yes,Yes,2,Modi's leadership,Statement 1: Promotes development,Rahul Gandhi
Riya Ghosh,28,Non-binary,Suburban,2025,Not able to vote,Even before announcement of candidates,PM candidate,INC,Really wanted to vote,Local political leader,No response,Not at all,Don't know,Remained same,2,Education,Yes,No,No,5,Employment opportunities,No response,No response
Anjali Chopra,55,Male,Rural,2020,Not able to vote,A day or two before voting,Party,Not sure,No response,Religious leader,Did not have necessary documents,Somewhat,Yes,Much better,2,Healthcare,Not sure,Yes,Don't know,4,Employment opportunities,Statement 2: Important for the same party to remain,Priyanka Gandhi
Anjali Chopra,55,Male,Rural,2021,Not able to vote,No response,No response,BJP,Really wanted to vote,Caste/community leader,Did not have necessary documents,Somewhat,No,Better,5,Economy,Yes,Yes,No,4,Global image,No response,Arvind Kejriwal
Anjali Chopra,55,Male,Rural,2022,Able to vote,A day or two before voting,Party,INC,No response,Don't know,Did not feel like voting,Not at all,No,No response,2,National Security,No,No,Don't know,3,No response,Statement 1: Promotes development,Narendra Modi
Anjali Chopra,55,Male,Rural,2023,Able to vote,During the campaign,Party,Not sure,Really wanted to vote,Friends/neighbors,No response,Somewhat,Don't know,Remained same,1,Healthcare,Yes,Yes,No,1,Other,No response,Rahul Gandhi
Anjali Chopra,55,Male,Rural,2024,Able to vote,No response,No response,Not sure,No good alternative,"No one, I voted on my own",Other,Not at all,Don't know,No response,4,Education,Yes,No,Yes,2,Global image,Statement 1: Promotes development,Narendra Modi
Anjali Chopra,55,Male,Rural,2025,Able to vote,No response,No response,Not sure,No response,Friends/neighbors,No response,Somewhat,Did not respond,Worse,1,Healthcare,Yes,Yes,No,4,Other,Statement 1: Promotes development,No response
Suresh Pandey,26,Non-binary,Urban,2020,Able to vote,On the day of voting,Candidate,BJP,No good alternative,Family member,Was not in village/city,Somewhat,No,Better,2,Healthcare,Not sure,Yes,Don't know,1,Global image,Statement 2: Important for the same party to remain,Arvind Kejriwal
Suresh Pandey,26,Non-binary,Urban,2021,Able to vote,On the day of voting,Party,INC,No response,"No one, I voted on my own",No response,Not at all,Yes,Much worse,5,Healthcare,Yes,Yes,Yes,1,Employment opportunities,Statement 1: Promotes development,Rahul Gandhi
Suresh Pandey,26,Non-binary,Urban,2022,Not able to vote,A day or two before voting,No response,INC,Really wanted to vote,Friends/neighbors,Was not in village/city,No response,Don't know,Remained same,3,National Security,Yes,Yes,Yes,5,Improving infrastructure,Statement 1: Promotes development,No response
Suresh Pandey,26,Non-binary,Urban,2023,Able to vote,Even before announcement of candidates,No response,AAP,Really wanted to vote,Friends/neighbors,Was ill,Not at all,No,Much better,2,National Security,No,Yes,No,1,Employment opportunities,No response,Other
Suresh Pandey,26,Non-binary,Urban,2024,Able to vote,A day or two before voting,Party,Not sure,No response,Don't know,Did not feel like voting,No response,Did not respond,Better,1,Other,Yes,Yes,No,1,Other,Statement 2: Important for the same party to remain,Priyanka Gandhi
Suresh Pandey,26,Non-binary,Urban,2025,Able to vote,No response,Candidate,Not sure,No good alternative,Local political leader,Did not feel like voting,No response,Don't know,Much worse,2,National Security,Not sure,No,No,3,Other,Statement 2: Important for the same party to remain,Narendra Modi
Aryan Mehta,60,Non-binary,Urban,2020,Not able to vote,A day or two before voting,Party,BJP,No response,Family member,Did not feel like voting,Somewhat,Yes,Remained same,5,National Security,No,No,Don't know,2,Global image,No response,Priyanka Gandhi
Aryan Mehta,60,Non-binary,Urban,2021,Not able to vote,On the day of voting,Candidate,INC,Really wanted to vote,Other,Did not feel like voting,Not at all,Yes,Remained same,5,Economy,No,Yes,No,5,No response,Statement 2: Important for the same party to remain,Rahul Gandhi
Aryan Mehta,60,Non-binary,Urban,2022,Not able to vote,No response,Candidate,Not sure,No response,Friends/neighbors,Did not feel like voting,Great deal,Don't know,No response,1,Education,Yes,Yes,Yes,1,No response,No response,Arvind Kejriwal
Aryan Mehta,60,Non-binary,Urban,2023,Able to vote,After announcement of candidates,No response,BJP,Really wanted to vote,Caste/community leader,Did not feel like voting,Somewhat,Yes,Much better,4,Healthcare,No,No,Yes,5,No response,No response,Priyanka Gandhi
Aryan Mehta,60,Non-binary,Urban,2024,Able to vote,A day or two before voting,No response,Not sure,No response,Family member,Other,Somewhat,Don't know,Much better,1,Education,No,No,Yes,3,Global image,Statement 2: Important for the same party to remain,Narendra Modi
Aryan Mehta,60,Non-binary,Urban,2025,Able to vote,On the day of voting,PM candidate,INC,No good alternative,Caste/community leader,Was not in village/city,Great deal,Don't know,No response,5,Healthcare,Yes,No,Don't know,2,Modi's leadership,Statement 2: Important for the same party to remain,Other
sushant Gupta,57,Female,Suburban,2020,Not able to vote,After announcement of candidates,PM candidate,Not sure,Really wanted to vote,"No one, I voted on my own",No response,Not at all,Yes,Better,4,Economy,No,Yes,Don't know,3,Global image,No response,Arvind Kejriwal
sushant Gupta,57,Female,Suburban,2021,Able to vote,After announcement of candidates,Party,INC,No good alternative,Local political leader,Did not have necessary documents,No response,No,Worse,4,Other,Yes,Yes,No,4,Other,Statement 1: Promotes development,Other
sushant Gupta,57,Female,Suburban,2022,Able to vote,After announcement of candidates,Candidate,Not sure,No response,"No one, I voted on my own",No response,Great deal,Yes,Remained same,4,National Security,Yes,Yes,Yes,5,Modi's leadership,Statement 1: Promotes development,Narendra Modi
sushant Gupta,57,Female,Suburban,2023,Able to vote,A day or two before voting,No response,Not sure,Really wanted to vote,Don't know,Was ill,Not at all,No,No response,3,Education,Yes,Yes,No,1,Other,No response,No response
sushant Gupta,57,Female,Suburban,2024,Not able to vote,On the day of voting,Party,BJP,No response,"No one, I voted on my own",Other,Great deal,Yes,No response,4,Education,Yes,No,Don't know,2,Employment opportunities,Statement 1: Promotes development,Other
sushant Gupta,57,Female,Suburban,2025,Able to vote,No response,Candidate,INC,No good alternative,Caste/community leader,Was not in village/city,No response,No,Worse,5,Education,Not sure,No,Don't know,4,Other,Statement 2: Important for the same party to remain,No response
Aditya Chopra,33,Non-binary,Urban,2020,Not able to vote,On the day of voting,Candidate,Not sure,Really wanted to vote,Religious leader,Was ill,No response,Did not respond,Better,5,National Security,No,Yes,Yes,1,Reducing poverty,Statement 1: Promotes development,No response
Aditya Chopra,33,Non-binary,Urban,2021,Not able to vote,No response,Candidate,AAP,Really wanted to vote,Family member,Did not have necessary documents,No response,Don't know,Remained same,3,Healthcare,Yes,No,No,2,Global image,No response,Other
Aditya Chopra,33,Non-binary,Urban,2022,Able to vote,No response,Party,AAP,Really wanted to vote,Religious leader,Was not in village/city,Not at all,Don't know,Worse,2,Healthcare,Not sure,No,Don't know,5,Other,No response,Rahul Gandhi
Aditya Chopra,33,Non-binary,Urban,2023,Not able to vote,After announcement of candidates,PM candidate,AAP,No good alternative,Don't know,Was not in village/city,Great deal,Yes,Worse,3,Education,Not sure,No,Yes,1,No response,Statement 1: Promotes development,Priyanka Gandhi
Aditya Chopra,33,Non-binary,Urban,2024,Able to vote,After announcement of candidates,Candidate,BSP,Really wanted to vote,Religious leader,Other,Great deal,Yes,Better,3,Education,No,No,Don't know,4,Employment opportunities,Statement 1: Promotes development,Arvind Kejriwal
Aditya Chopra,33,Non-binary,Urban,2025,Able to vote,After announcement of candidates,Party,AAP,No good alternative,Don't know,Did not feel like voting,Not at all,Yes,Much better,3,Education,Not sure,Yes,No,3,Improving infrastructure,Statement 2: Important for the same party to remain,No response
Raj Gupta,34,Female,Rural,2020,Able to vote,Even before announcement of candidates,Candidate,AAP,No good alternative,"No one, I voted on my own",Was not in village/city,No response,Did not respond,Much better,5,Education,Not sure,Yes,Don't know,3,Improving infrastructure,Statement 1: Promotes development,Narendra Modi
Raj Gupta,34,Female,Rural,2021,Not able to vote,Even before announcement of candidates,No response,Not sure,No response,Religious leader,Did not have necessary documents,No response,Don't know,Remained same,1,Other,Not sure,Yes,Don't know,1,Employment opportunities,No response,No response
Raj Gupta,34,Female,Rural,2022,Not able to vote,Even before announcement of candidates,PM candidate,INC,No response,"No one, I voted on my own",No response,Great deal,No,Much better,1,Other,Yes,No,No,2,No response,No response,Narendra Modi
Raj Gupta,34,Female,Rural,2023,Able to vote,During the campaign,Party,Not sure,Really wanted to vote,Local political leader,Other,Great deal,Did not respond,Much worse,3,Economy,No,Yes,No,3,Improving infrastructure,No response,No response
Raj Gupta,34,Female,Rural,2024,Able to vote,No response,Party,BJP,No good alternative,Caste/community leader,No response,Somewhat,No,Worse,5,Economy,Yes,Yes,No,3,Improving infrastructure,No response,Arvind Kejriwal
Raj Gupta,34,Female,Rural,2025,Not able to vote,Even before announcement of candidates,Candidate,Not sure,Really wanted to vote,Caste/community leader,No response,Great deal,Yes,Better,3,Other,Not sure,Yes,No,5,Employment opportunities,No response,Priyanka Gandhi
Suresh Malhotra,26,Non-binary,Rural,2020,Not able to vote,After announcement of candidates,PM candidate,Not sure,No response,Friends/neighbors,No response,Somewhat,Did not respond,Worse,5,Other,Not sure,Yes,Don't know,5,No response,Statement 2: Important for the same party to remain,No response
Suresh Malhotra,26,Non-binary,Rural,2021,Not able to vote,On the day of voting,PM candidate,Not sure,Really wanted to vote,Don't know,Other,Not at all,Don't know,Remained same,4,Economy,Yes,Yes,No,2,No response,Statement 2: Important for the same party to remain,Rahul Gandhi
Suresh Malhotra,26,Non-binary,Rural,2022,Able to vote,No response,No response,Not sure,Really wanted to vote,Don't know,Did not feel like voting,Great deal,Did not respond,Worse,1,Other,Not sure,No,Yes,3,Other,No response,Arvind Kejriwal
Suresh Malhotra,26,Non-binary,Rural,2023,Not able to vote,Even before announcement of candidates,PM candidate,AAP,No response,Local political leader,Was not in village/city,Not at all,No,Better,2,Healthcare,No,No,Yes,1,Improving infrastructure,Statement 2: Important for the same party to remain,Priyanka Gandhi
Suresh Malhotra,26,Non-binary,Rural,2024,Not able to vote,After announcement of candidates,Party,Not sure,No good alternative,Don't know,Was not in village/city,Somewhat,No,Much better,1,Other,Yes,Yes,Yes,3,Improving infrastructure,Statement 1: Promotes development,Arvind Kejriwal
Suresh Malhotra,26,Non-binary,Rural,2025,Able to vote,During the campaign,PM candidate,BSP,Really wanted to vote,Religious leader,Was ill,Not at all,Did not respond,Much better,2,Economy,Not sure,Yes,Don't know,4,Global image,Statement 1: Promotes development,Narendra Modi
Raj Reddy,21,Non-binary,Urban,2020,Not able to vote,No response,No response,AAP,Really wanted to vote,Caste/community leader,Did not feel like voting,Great deal,No,Worse,5,Economy,Yes,No,No,3,Improving infrastructure,No response,Arvind Kejriwal
Raj Reddy,21,Non-binary,Urban,2021,Not able to vote,Even before announcement of candidates,Party,INC,No good alternative,Other,Did not feel like voting,Somewhat,No,Much better,3,Healthcare,Yes,Yes,Don't know,1,Modi's leadership,Statement 2: Important for the same party to remain,Other
Raj Reddy,21,Non-binary,Urban,2022,Not able to vote,A day or two before voting,No response,Not sure,Really wanted to vote,Local political leader,Did not feel like voting,Somewhat,Yes,Remained same,2,Economy,Yes,No,No,3,No response,Statement 2: Important for the same party to remain,Arvind Kejriwal
Raj Reddy,21,Non-binary,Urban,2023,Able to vote,No response,Candidate,AAP,No response,Family member,Did not have necessary documents,No response,Don't know,Worse,3,Education,No,Yes,No,3,Employment opportunities,Statement 1: Promotes development,Rahul Gandhi
Raj Reddy,21,Non-binary,Urban,2024,Not able to vote,After announcement of candidates,Candidate,Not sure,Really wanted to vote,Other,Was ill,Great deal,No,Better,3,Healthcare,Not sure,Yes,No,1,Employment opportunities,No response,Rahul Gandhi
Raj Reddy,21,Non-binary,Urban,2025,Able to vote,During the campaign,Candidate,INC,Really wanted to vote,Religious leader,Did not feel like voting,Somewhat,No,Better,4,National Security,No,No,No,4,Employment opportunities,No response,Other
Vivaan Bose,47,Male,Rural,2020,Able to vote,Even before announcement of candidates,PM candidate,BJP,No good alternative,Caste/community leader,Other,Not at all,No,Better,4,Education,Yes,No,Yes,1,Improving infrastructure,Statement 2: Important for the same party to remain,Arvind Kejriwal
Vivaan Bose,47,Male,Rural,2021,Not able to vote,During the campaign,No response,BJP,No good alternative,Don't know,No response,Not at all,Don't know,Better,5,Economy,Yes,No,Yes,4,Employment opportunities,No response,Narendra Modi
Vivaan Bose,47,Male,Rural,2022,Able to vote,On the day of voting,PM candidate,Not sure,Really wanted to vote,Caste/community leader,Was not in village/city,Not at all,No,Much better,1,Other,Not sure,Yes,Yes,5,Other,Statement 2: Important for the same party to remain,Narendra Modi
Vivaan Bose,47,Male,Rural,2023,Able to vote,During the campaign,PM candidate,BJP,No good alternative,Religious leader,Did not feel like voting,No response,Yes,No response,2,Economy,Yes,No,Yes,4,Other,Statement 2: Important for the same party to remain,Narendra Modi
Vivaan Bose,47,Male,Rural,2024,Not able to vote,Even before announcement of candidates,PM candidate,BSP,Really wanted to vote,Other,Was not in village/city,Somewhat,Don't know,No response,2,Education,Yes,Yes,Don't know,4,Other,Statement 2: Important for the same party to remain,Rahul Gandhi
Vivaan Bose,47,Male,Rural,2025,Able to vote,On the day of voting,Candidate,Not sure,No response,Other,Did not feel like voting,Not at all,Yes,No response,3,Healthcare,No,Yes,Don't know,3,Modi's leadership,No response,Other
sandeep Singh,50,Female,Rural,2020,Not able to vote,On the day of voting,Candidate,Not sure,No response,"No one, I voted on my own",Was not in village/city,Not at all,Yes,Worse,1,Other,Not sure,No,No,4,Employment opportunities,No response,Priyanka Gandhi
sandeep Singh,50,Female,Rural,2021,Able to vote,After announcement of candidates,Party,AAP,No good alternative,Don't know,Other,Great deal,No,Better,3,Economy,Not sure,Yes,Yes,5,No response,No response,Priyanka Gandhi
sandeep Singh,50,Female,Rural,2022,Able to vote,After announcement of candidates,No response,BSP,Really wanted to vote,Family member,No response,No response,No,Better,4,Education,Yes,Yes,Yes,3,Improving infrastructure,No response,Arvind Kejriwal
sandeep Singh,50,Female,Rural,2023,Not able to vote,During the campaign,Party,BJP,No response,"No one, I voted on my own",Did not feel like voting,Great deal,Did not respond,No response,5,Education,No,Yes,Yes,2,Employment opportunities,No response,No response
sandeep Singh,50,Female,Rural,2024,Able to vote,No response,PM candidate,BJP,Really wanted to vote,Caste/community leader,Did not have necessary documents,Great deal,Did not respond,Worse,5,Education,No,No,Yes,1,Other,Statement 2: Important for the same party to remain,Other
sandeep Singh,50,Female,Rural,2025,Able to vote,No response,No response,BJP,Really wanted to vote,Religious leader,Did not feel like voting,Not at all,Yes,Much better,3,Healthcare,Not sure,No,Yes,2,Global image,Statement 2: Important for the same party to remain,Rahul Gandhi
Aditi Pandey,23,Female,Suburban,2020,Not able to vote,No response,PM candidate,BSP,Really wanted to vote,"No one, I voted on my own",Was not in village/city,No response,No,Much worse,3,Economy,No,Yes,No,1,No response,Statement 1: Promotes development,No response
Aditi Pandey,23,Female,Suburban,2021,Not able to vote,No response,PM candidate,BSP,No good alternative,Friends/neighbors,Was ill,Great deal,Don't know,Better,3,Economy,No,No,Don't know,3,Modi's leadership,Statement 2: Important for the same party to remain,No response
Aditi Pandey,23,Female,Suburban,2022,Not able to vote,A day or two before voting,PM candidate,AAP,Really wanted to vote,Other,No response,Great deal,Yes,Much worse,3,Healthcare,Yes,No,Yes,4,Reducing poverty,Statement 1: Promotes development,Priyanka Gandhi
Aditi Pandey,23,Female,Suburban,2023,Not able to vote,A day or two before voting,PM candidate,BSP,Really wanted to vote,"No one, I voted on my own",Did not feel like voting,Great deal,Yes,Better,3,Economy,No,Yes,No,5,Other,Statement 1: Promotes development,Priyanka Gandhi
Aditi Pandey,23,Female,Suburban,2024,Not able to vote,A day or two before voting,Candidate,BJP,Really wanted to vote,Family member,Did not feel like voting,Somewhat,No,Better,3,Education,No,Yes,Yes,3,Improving infrastructure,No response,Other
Aditi Pandey,23,Female,Suburban,2025,Not able to vote,On the day of voting,PM candidate,AAP,No good alternative,Religious leader,Was ill,Great deal,Don't know,No response,2,Education,No,No,Yes,5,Improving infrastructure,No response,Narendra Modi
Priya Sharma,45,Non-binary,Rural,2020,Able to vote,After announcement of candidates,Party,Not sure,No good alternative,Caste/community leader,Was not in village/city,No response,No,No response,5,Education,Yes,No,Don't know,4,Employment opportunities,No response,Priyanka Gandhi
Priya Sharma,45,Non-binary,Rural,2021,Able to vote,Even before announcement of candidates,PM candidate,Not sure,No response,Other,Other,No response,No,Worse,2,National Security,Not sure,No,No,5,No response,No response,No response
Priya Sharma,45,Non-binary,Rural,2022,Not able to vote,A day or two before voting,Party,INC,No response,Caste/community leader,Was not in village/city,No response,Don't know,Remained same,5,Healthcare,No,No,Don't know,3,Global image,Statement 2: Important for the same party to remain,Rahul Gandhi
Priya Sharma,45,Non-binary,Rural,2023,Not able to vote,After announcement of candidates,PM candidate,Not sure,No good alternative,Family member,Other,Somewhat,Yes,Much better,5,Education,Yes,Yes,No,1,Other,Statement 1: Promotes development,Arvind Kejriwal
Priya Sharma,45,Non-binary,Rural,2024,Able to vote,Even before announcement of candidates,Candidate,Not sure,Really wanted to vote,Caste/community leader,Did not feel like voting,Somewhat,No,Worse,4,Economy,No,No,No,2,Other,Statement 1: Promotes development,Other
Priya Sharma,45,Non-binary,Rural,2025,Able to vote,Even before announcement of candidates,PM candidate,BJP,Really wanted to vote,Local political leader,No response,No response,Don't know,Much better,4,Other,No,Yes,Yes,5,No response,No response,Arvind Kejriwal
sandeep Nair,30,Female,Suburban,2020,Not able to vote,After announcement of candidates,Party,Not sure,No good alternative,Religious leader,Did not feel like voting,No response,Don't know,Better,5,Economy,No,Yes,No,5,Modi's leadership,No response,Priyanka Gandhi
sandeep Nair,30,Female,Suburban,2021,Able to vote,On the day of voting,Candidate,BJP,Really wanted to vote,Local political leader,Did not feel like voting,Somewhat,Don't know,Much worse,4,Healthcare,No,No,No,1,Other,No response,Narendra Modi
sandeep Nair,30,Female,Suburban,2022,Able to vote,On the day of voting,Candidate,BJP,Really wanted to vote,Local political leader,Was not in village/city,Not at all,Don't know,Better,3,Other,Yes,Yes,Don't know,5,Global image,No response,Arvind Kejriwal
sandeep Nair,30,Female,Suburban,2023,Not able to vote,On the day of voting,Party,BSP,No response,Religious leader,Did not have necessary documents,No response,Don't know,Much better,4,Education,No,Yes,No,1,Employment opportunities,Statement 2: Important for the same party to remain,Rahul Gandhi
sandeep Nair,30,Female,Suburban,2024,Able to vote,On the day of voting,No response,BJP,No response,Religious leader,Other,Not at all,No,Better,3,Healthcare,Yes,Yes,Yes,2,Other,Statement 2: Important for the same party to remain,Narendra Modi
sandeep Nair,30,Female,Suburban,2025,Able to vote,During the campaign,No response,BSP,No response,Caste/community leader,Was not in village/city,Great deal,Yes,No response,2,Healthcare,No,No,Don't know,2,Global image,Statement 1: Promotes development,Arvind Kejriwal
Rajesh Malhotra,57,Non-binary,Rural,2020,Able to vote,A day or two before voting,No response,INC,No response,Family member,Did not have necessary documents,Not at all,Don't know,Better,3,Other,Not sure,Yes,No,3,Improving infrastructure,No response,Arvind Kejriwal
Rajesh Malhotra,57,Non-binary,Rural,2021,Not able to vote,A day or two before voting,PM candidate,Not sure,Really wanted to vote,Religious leader,Was ill,No response,Yes,No response,4,Economy,No,No,Yes,3,No response,Statement 1: Promotes development,No response
Rajesh Malhotra,57,Non-binary,Rural,2022,Able to vote,On the day of voting,No response,BSP,No response,Religious leader,Did not have necessary documents,No response,Don't know,Remained same,3,Other,Not sure,Yes,No,2,Modi's leadership,Statement 1: Promotes development,Rahul Gandhi
Rajesh Malhotra,57,Non-binary,Rural,2023,Able to vote,No response,Party,BJP,No good alternative,Caste/community leader,Other,No response,No,Remained same,3,Other,Not sure,No,Don't know,3,Employment opportunities,Statement 1: Promotes development,Rahul Gandhi
Rajesh Malhotra,57,Non-binary,Rural,2024,Able to vote,After announcement of candidates,Candidate,INC,No good alternative,Caste/community leader,Did not feel like voting,Somewhat,Yes,Better,1,Healthcare,No,No,Don't know,3,Global image,Statement 1: Promotes development,No response
Rajesh Malhotra,57,Non-binary,Rural,2025,Able to vote,No response,Party,BSP,Really wanted to vote,Caste/community leader,No response,Somewhat,Don't know,Much worse,3,Economy,No,No,Yes,1,No response,No response,Priyanka Gandhi
